trec7n8 - cnet - first step

intCoeff, expansionCount, dirCoeff, map precision = 0.1 85 600 0.1981

intCoeff, expansionCount, dirCoeff, map precision = 0.2 85 600 0.1987

--> intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 600 0.1992

intCoeff, expansionCount, dirCoeff, map precision = 0.4 85 600 0.1986

intCoeff, expansionCount, dirCoeff, map precision = 0.5 85 600 0.1907

intCoeff, expansionCount, dirCoeff, map precision = 0.6 85 600 0.1858

intCoeff, expansionCount, dirCoeff, map precision = 0.7 85 600 0.1756

intCoeff, expansionCount, dirCoeff, map precision = 0.8 85 600 0.1454



intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 200 0.1839

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 400 0.1940

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 600 0.1992

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 800 0.2005

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 1000 0.2020

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 1200 0.2029

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 1400 0.2027

--> intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 1600 0.2030

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 1800 0.2026

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 2000 0.2025

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 2200 0.2022

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 2400 0.2017

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 2600 0.2012

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 2800 0.2006

intCoeff, expansionCount, dirCoeff, map precision = 0.3 85 3000 0.2001




intCoeff, expansionCount, dirCoeff, map precision = 0.3 0 1600 0.1756

intCoeff, expansionCount, dirCoeff, map precision = 0.3 20 1600 0.2027

intCoeff, expansionCount, dirCoeff, map precision = 0.3 40 1600 0.2025

intCoeff, expansionCount, dirCoeff, map precision = 0.3 60 1600 0.2028

intCoeff, expansionCount, dirCoeff, map precision = 0.3 80 1600 0.2029

intCoeff, expansionCount, dirCoeff, map precision = 0.3 100 1600 0.2023

intCoeff, expansionCount, dirCoeff, map precision = 0.3 120 1600 0.2023

intCoeff, expansionCount, dirCoeff, map precision = 0.3 140 1600 0.2029

intCoeff, expansionCount, dirCoeff, map precision = 0.3 160 1600 0.2030

intCoeff, expansionCount, dirCoeff, map precision = 0.3 180 1600 0.2026

intCoeff, expansionCount, dirCoeff, map precision = 0.3 200 1600 0.2024



ntCoeff, expansionCount, dirCoeff, map precision = 0.3 0 1600 0.1764

intCoeff, expansionCount, dirCoeff, map precision = 0.3 5 1600 0.1998

